Tick;Step;DateTime;Area;Camp;Crop_YieldA;Crop_YieldB;Fire_Data;Harvest_Data;Latitude;Longitude;Patch_ID;Patch_Population;test_count;X;Y;ID
52;52;2000-12-30T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
53;53;2001-01-06T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
54;54;2001-01-13T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
55;55;2001-01-20T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
56;56;2001-01-27T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
57;57;2001-02-03T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
58;58;2001-02-10T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
59;59;2001-02-17T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
60;60;2001-02-24T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
61;61;2001-03-03T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
62;62;2001-03-10T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
63;63;2001-03-17T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
64;64;2001-03-24T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
65;65;2001-03-31T00:00:00.0000000;11.7633;Hartman;2022144.5081516623;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1050013;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
66;66;2001-04-07T00:00:00.0000000;11.7633;Hartman;2022904.2329970435;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1076787;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
67;67;2001-04-14T00:00:00.0000000;11.7633;Hartman;2022904.2329970435;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1103325;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
68;68;2001-04-21T00:00:00.0000000;11.7633;Hartman;2022904.2329970435;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1129917;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
69;69;2001-04-28T00:00:00.0000000;11.7633;Hartman;2022904.2329970435;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1156992;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
70;70;2001-05-05T00:00:00.0000000;11.7633;Hartman;2022988.6468687525;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1183729;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
71;71;2001-05-12T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1210634;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
72;72;2001-05-19T00:00:00.0000000;11.7633;Hartman;2023917.1994575518;14056.2;0;2004-2010;24.16779211;-33.6982994;446;31236;1237593;-33,6982994;24,16779211;a0aa0435-4b2a-4a88-84a9-33fd54b6184b
